run,attack,intervals,ABORT%,ABORT%_95%_lo,ABORT%_95%_hi,ABORT_count
tier2_full,none,5252,0.01904036557501904,0.003361084673502953,0.10778381741030413,1
tier2_full,rl,936,2.1367521367521367,1.3874010263595562,3.2773850397179616,20
tier2_full,timing,427,4.683840749414521,3.0522207000324273,7.123584050483772,20
tier2_jitter,none,1868,0.10706638115631692,0.029365760694708625,0.3895585756380237,2
tier2_jitter,rl,100,20.0,13.33659225590988,28.883096192650235,20
tier2_jitter,timing,40,50.0,35.19927879709975,64.80072120290025,20
tier2_padonly,none,1285,1.0894941634241244,0.6500818030133259,1.8204778064840708,14
tier2_padonly,rl,120,16.666666666666664,11.055912012704825,24.345439391023813,20
tier2_padonly,timing,65,30.76923076923077,20.88687670427146,42.79787205229433,20
tier2_vendor,none,1980,0.0,0.0,0.19364449258448857,0
tier2_vendor,rl,100,20.0,13.33659225590988,28.883096192650235,20
tier2_vendor,timing,40,50.0,35.19927879709975,64.80072120290025,20
